Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2025-02-03 09:34 (MST),,,63,Walking,,63 min 35 sec Outdoor Walking,,0,,,,2.88,3.06,405,96.75,,
2025-02-03 17:47 (-07),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,2025-01-21 22:00 (-07),461,171,44%,90,19.70,14.77,627,145.31,,
2025-02-03 18:33 (-07),On Demand,Matt Wilpers,5,Cycling,Cool Down,5 min Cool Down Ride,2024-04-17 08:00 (-07),17,56,27%,95,12.60,1.04,51,123.47,,
2025-02-03 18:38 (-07),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-01-19 00:00 (-07),,,,,,,42,110.80,,
2025-02-04 08:59 (MST),On Demand,Jon Hosking,30,Walking,Hiking,30 min Hike,2025-02-01 02:24 (MST),0,,,,4.12,2.07,326,130.48,,
2025-02-04 09:30 (MST),On Demand,Emma Lovewell,30,Walking,Music,30 min 90s Walk,2025-01-19 12:25 (MST),0,,,,4.26,2.14,318,123.69,,
2025-02-04 10:39 (MST),On Demand,Kirra Michel,20,Yoga,Flow,20 min Alternative Yoga Flow,2025-01-30 22:00 (MST),,,,,,,126,96.65,,
2025-02-04 18:30 (-07),Live,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2025-02-04 18:30 (-07),409,152,41%,93,19.07,14.30,546,133.90,,
2025-02-04 19:18 (-07),On Demand,Denis Morton,20,Cycling,Music,20 min 70s Ride,2025-01-28 18:55 (-07),165,137,42%,89,18.19,6.06,231,130.06,,
2025-02-04 19:38 (-07),On Demand,Denis Morton,5,Cycling,Cool Down,5 min Cool Down Ride,2024-11-14 22:00 (-07),21,71,31%,88,13.94,1.16,40,109.33,,
2025-02-04 19:44 (-07),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-10-24 21:00 (-07),,,,,,,24,88.12,,
2025-02-05 08:35 (-07),On Demand,Kirra Michel,20,Yoga,Flow,20 min Yoga Flow,2025-01-31 22:00 (-07),,,,,,,110,90.74,,
2025-02-05 11:21 (-07),On Demand,Emma Lovewell,60,Cycling,Music,60 min 90s Ride,2025-02-02 07:55 (-07),676,188,47%,91,20.63,20.63,928,158.00,,
2025-02-05 12:22 (-07),On Demand,Bradley Rose,5,Cycling,Cool Down,5 min Cool Down Ride,2025-01-30 22:00 (-07),38,128,45%,79,17.81,1.48,66,141.14,,
2025-02-05 12:28 (-07),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2025-02-04 22:00 (-07),,,,,,,42,111.17,,
2025-02-05 15:12 (MST),,,45,Walking,,45 min 34 sec Outdoor Walking,,0,,,,3.18,2.46,346,105.79,,
2025-02-05 22:41 (MST),On Demand,Aditi Shah,10,Meditation,Sleep,10 min Sleep Meditation,2025-01-26 21:00 (MST),,,,,,,,78.33,,
2025-02-06 09:07 (-07),On Demand,Kirra Michel,45,Yoga,Power,45 min Power Slow Flow,2025-02-03 22:00 (-07),,,,,,,251,91.90,,
2025-02-06 10:00 (-07),Live,Denis Morton,30,Cycling,Climb,30 min Climb Ride,2025-02-06 09:56 (-07),344,191,48%,87,20.78,10.40,422,146.20,,
2025-02-06 10:31 (-07),On Demand,Denis Morton,30,Cycling,Power Zone,30 min Power Zone 80s Ride,2025-02-01 13:56 (-07),300,166,48%,81,19.65,9.83,416,144.85,,
2025-02-06 11:02 (-07),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2023-02-06 09:00 (-07),18,60,30%,86,12.80,1.07,48,118.80,,
2025-02-06 11:07 (-07),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min AFO Post-Ride Stretch: The 1975,2022-08-19 05:15 (-07),,,,,,,36,104.02,,
2025-02-06 11:19 (MST),,,45,Walking,,45 min 5 sec Outdoor Walking,,0,,,,3.33,2.48,328,104.40,,
2025-02-06 23:26 (MST),On Demand,Kirra Michel,10,Meditation,Sleep,10 min Sleep Meditation,2025-02-02 20:00 (MST),,,,,,,,77.89,,
2025-02-07 10:00 (-07),Live,Cody Rigsby,30,Cycling,Music,30 min Hip Hop Ride,2025-02-07 09:55 (-07),391,217,56%,75,21.88,10.94,454,147.54,,
2025-02-07 10:32 (-07),On Demand,Christine D'Ercole,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2024-12-09 18:24 (-07),272,151,44%,83,19.03,9.51,394,140.06,,
2025-02-07 11:02 (-07),On Demand,Leanne Hainsby-Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2025-02-06 22:00 (-07),33,109,41%,77,16.67,1.39,53,124.31,,
2025-02-07 11:08 (-07),On Demand,Christine D'Ercole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2025-02-06 22:00 (-07),,,,,,,32,97.04,,
2025-02-07 14:18 (MST),On Demand,Logan Aldridge,30,Walking,Hiking,30 min Hike,2025-02-04 15:24 (MST),0,,,,4.05,2.03,352,132.59,,
2025-02-07 23:42 (MST),On Demand,Kirra Michel,10,Meditation,Sleep,10 min Sleep Meditation,2024-03-15 04:00 (MST),,,,,,,,,,
2025-02-08 07:00 (-07),Live,Charlotte Weidenbach,30,Cycling,Music,30 min Metal Ride,2025-02-08 06:55 (-07),378,210,56%,73,21.72,10.86,504,,,
2025-02-08 07:32 (-07),On Demand,Olivia Amato,10,Cycling,Cool Down,10 min Cool Down Ride,2025-02-04 22:00 (-07),45,74,39%,66,14.15,2.36,100,120.15,,
2025-02-08 07:44 (-07),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-08-11 01:00 (-07),,,,,,,15,,,
2025-02-08 12:03 (MST),On Demand,Logan Aldridge,30,Walking,Hiking,30 min Hike,2024-12-10 15:25 (MST),0,,,,3.95,1.98,332,127.23,,
2025-02-09 08:27 (-07),On Demand,Ben Alldis,30,Cycling,Music,30 min EDM Ride,2025-02-04 05:54 (-07),365,203,55%,76,21.33,10.66,460,154.54,,
2025-02-09 08:57 (-07),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,2025-02-08 05:56 (-07),475,176,54%,73,20.01,15.01,690,154.16,,
2025-02-09 09:43 (-07),On Demand,Matt Wilpers,5,Cycling,Cool Down,5 min Cool Down Ride,2024-04-17 08:00 (-07),17,57,27%,85,12.68,1.05,53,125.54,,
2025-02-09 09:49 (-07),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min AFO Post-Ride Stretch: The 1975,2022-08-19 05:15 (-07),,,,,,,42,111.26,,
2025-02-10 11:21 (-07),On Demand,Alex Toussaint,5,Cycling,Warm Up,5 min Warm Up Ride,2025-02-03 22:00 (-07),45,150,39%,92,18.96,1.57,53,125.44,,
2025-02-10 11:30 (-07),Live,Sam Yo,30,Cycling,Intervals,30 min HIIT & Hills Ride,2025-02-10 11:25 (-07),374,208,50%,80,21.54,10.77,490,161.00,,
2025-02-10 12:01 (-07),On Demand,Sam Yo,5,Cycling,Cool Down,5 min Cool Down Ride,2023-12-08 00:00 (-07),34,112,41%,73,16.94,1.41,61,134.67,,
2025-02-10 12:06 (-07),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-09-03 21:00 (-07),,,,,,,42,109.79,,
2025-02-11 08:48 (-07),On Demand,Kirra Michel,30,Yoga,Slow Flow,30 min Slow Flow,2024-07-02 15:25 (-07),,,,,,,160,89.53,,
2025-02-11 11:17 (MST),,,14,Cycling,,14 min 57 sec Outdoor Cycling,,0,0,0%,0,15.10,2.93,108,,,
2025-02-11 12:16 (MST),,,15,Cycling,,15 min 48 sec Outdoor Cycling,,0,0,0%,0,12.91,2.80,115,80.50,,
2025-02-11 13:47 (-07),On Demand,Denis Morton,30,Cycling,Music,30 min Rock Ride,2025-02-08 13:56 (-07),322,179,44%,88,20.21,10.11,419,145.58,,
2025-02-11 14:18 (-07),On Demand,Christine D'Ercole,30,Cycling,Music,30 min Classic Rock Ride,2025-02-10 15:24 (-07),318,177,47%,81,20.13,10.07,447,151.54,,
2025-02-11 14:48 (-07),On Demand,Ally Love,5,Cycling,Cool Down,5 min Cool Down Ride,2025-01-28 22:00 (-07),29,98,37%,79,16.05,1.33,57,129.70,,
